"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","819","Регистрация пользователя, который уже существует","tests","2025-11-02","passed","2025-11-02","TestRegister","test_auth","",""
"","3688","Создание валидного заказа (дополнительная позитивная проверка)","tests","2025-11-02","passed","2025-11-02","TestCreateOrder","test_orders","",""
"","918","Создание заказа без авторизации","tests","2025-11-02","failed","2025-11-02","TestCreateOrder","test_orders","",""
"","1021","Регистрация без обязательного поля (email, password, name)","tests","2025-11-02","passed","2025-11-02","TestRegister","test_auth","",""
"","917","Регистрация без обязательного поля (email, password, name)","tests","2025-11-02","passed","2025-11-02","TestRegister","test_auth","",""
"","919","Создание заказа без ингредиентов","tests","2025-11-02","passed","2025-11-02","TestCreateOrder","test_orders","",""
"","1020","Логин с неверным логином или паролем","tests","2025-11-02","passed","2025-11-02","TestLogin","test_auth","",""
"","1022","Регистрация без обязательного поля (email, password, name)","tests","2025-11-02","passed","2025-11-02","TestRegister","test_auth","",""
"","920","Логин с неверным логином или паролем","tests","2025-11-02","passed","2025-11-02","TestLogin","test_auth","",""
"","3793","Создание заказа с авторизацией и валидными ингредиентами","tests","2025-11-02","passed","2025-11-02","TestCreateOrder","test_orders","",""
"","928","Создание уникального пользователя","tests","2025-11-02","passed","2025-11-02","TestRegister","test_auth","",""
"","723","Создание заказа с неверным хешем ингредиентов","tests","2025-11-02","passed","2025-11-02","TestCreateOrder","test_orders","",""
"","1024","Успешный логин под существующим пользователем","tests","2025-11-02","passed","2025-11-02","TestLogin","test_auth","",""
